"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",420,168819023205971,401950055252,98.37207140775065
"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",140,2786228035595,19901628825,1.6235553201929316
"__omp_offloading_43b2fce4_e80082d4__ZN7Poisson6JacobiIdE17relaxation_kernelERNS_6DomainIdEEdllllll_l138.kd",108,2859485010,26476713,0.0016662426914407326
"__omp_offloading_43b2fce4_f60002d4__ZN7Poisson9DirichletIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l75.kd",40,1626064433,40651610,0.0009475195595790057
"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE9init_zeroEv_l122.kd",40,643838564,16095964,0.00037516940917018353
"__omp_offloading_43b2fce4_f60002d9__ZN7Poisson8residualIdEEvRNS_6DomainIT_EEb_l58.kd",12,604701913,50391826,0.00035236419827795485
"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE16fill_send_bufferERNS_11DeviceArrayIdEERKS3_RNS_8SettingsERNS_6DomainIdEEd_l174.kd",108,443131769,4103071,0.0002582161014515872
"__omp_offloading_43b2fce4_4401ca68__ZN7Poisson9InjectionIdE11restrict_toERNS_11DeviceArrayIdEES4__l47.kd",32,370014526,11562953,0.0002156101527087239
"__omp_offloading_43b2fce4_e8007dbb__ZN7Poisson11DeviceArrayIdE3addERKS1__l156.kd",8,280311612,35038951,0.00016333961296792054
"__omp_offloading_43b2fce4_4401ca73__ZN7Poisson22TrilinearInterpolationIdE7prolongERNS_11DeviceArrayIdEES4__l113.kd",8,215577944,26947243,0.00012561883428996172
"__omp_offloading_43b2fce4_e8007dbb__ZNK7Poisson11DeviceArrayIdE13infinity_normEv_l192.kd",6,173799290,28966548,0.0001012741090536748
"__omp_offloading_43b2fce4_4401ca73__ZN7Poisson22TrilinearInterpolationIdE7prolongERNS_11DeviceArrayIdEES4__l92.kd",8,113352683,14169085,6.605143196884539e-05
"__omp_offloading_43b2fce4_4401ca73__ZN7Poisson22TrilinearInterpolationIdE7prolongERNS_11DeviceArrayIdEES4__l71.kd",8,88843414,11105426,5.1769702845948215e-05
"__omp_offloading_43b2fce4_4401ca73__ZN7Poisson22TrilinearInterpolationIdE7prolongERNS_11DeviceArrayIdEES4__l50.kd",8,59469960,7433745,3.465357778192119e-05
"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE11restrict_toERNS_11DeviceArrayIdEERNS_8BoundaryIdEERNS_8SettingsERNS_11RestrictionIdEE_l230.kd",24,26501600,1104233,1.5442674872244116e-05
